(-1.0108847697574441,-0.23161658416673689)
(-0.71490001101799505,-0.49813806660663040)
(-0.68107048480684307,-0.63691062701143819)
(-0.78997452522974365,-0.74202122606837784)
(-0.30690959785458038,-0.72956679092877630)
(0.58622444770078053,-0.66967491419967196)
(0.92838446655694196,-0.70994263480896547)
(0.80488390732925952,-0.56935751374504306)
(0.83534198814669680,-3.35039544420479007E-002)
(0.89506861653319025,0.49517507036541059)
(0.78264957340023034,0.70790618592841237)
(0.64615305926498445,0.80861575049716750)
(0.54609215523122656,0.94791735077871031)
(0.48452756579945805,1.0844405914847177)
(0.28210405633498536,1.1560286033011911)
(-0.27859349310935871,1.0151952662004629)
(-0.77302584116903006,0.73394664641732654)
(-0.78121767517696450,0.63605267231065610)
(-0.74334166343199826,0.60412583140072573)
(-0.93430409295570271,0.24285864263039586)
(-0.93597761943685720,-0.28070179092185393)
(-0.71649404830172547,-0.55488317696023093)
(-0.63920464938758159,-0.60977539772626066)
(-0.64278366311620716,-0.62595913853511020)
(-0.54601052561708685,-0.61148870699759394)
(-0.43827507076632732,-0.53921739908888999)
(-0.40254056480859196,-0.37575971526512952)
(-0.48673676867365584,-0.16612032820152489)
(-0.65667031936157949,-7.66937656189915495E-002)
(-0.62142258454129995,-0.12063672231271361)
(-0.30250857723483210,-0.22591233880280898)
(-7.25109695839465385E-002,-0.51657018785326148)
(-9.46607932730902935E-003,-0.95870549513938097)
(0.21539145134029325,-1.1384101257901513)
(0.51916263379336480,-0.88378095797111600)
(0.59416120576408493,-0.51690465139407382)
(0.60904653926741847,-0.28082645654354782)
(0.70204070249154604,-9.23955370014297728E-002)
(0.65000341999496603,0.18286992103781785)
(0.55806902936883573,0.57065379542496042)
(0.57905107124446209,0.95962552029847170)
(0.30828960303829522,1.1742840116229085)
(-0.24416857436395512,1.1490329253152196)
(-0.36099848234691467,0.94380837497649350)
(-1.44472281715222195E-002,0.74028708746451000)
(0.14816853093212157,0.78930043755970392)
(-5.54897645651167837E-002,0.99577559227854251)
(-0.48344005550830227,0.96099706614287106)
(-0.84183082339144821,0.75883269037482370)
(-0.66651535864687061,0.76665499796649617)
(-0.32300146206597846,0.77618276282097942)
(-0.62721457322800167,0.49559825383219130)
(-1.1109579924613673,0.31619063548674053)
(-0.96822219725071945,0.47723682548289620)
(-0.74469178226301691,0.54102634791420634)
(-0.93812483663187762,0.26979305253087915)
(-1.0442750000595511,-6.03459557880107189E-002)
(-1.0221333366820229,-0.20505674921006845)
(-1.2198526630283992,-0.21693613336984263)
(-1.2714647383867463,-0.34247494828954145)
(-1.0052536638365903,-0.56448466106104866)
(-0.91820220583013468,-0.53708225424594414)
(-0.88961708905767478,-0.40626734238097395)
(-0.36555024677038295,-0.62072540612945781)
(0.32108667230171772,-0.88464039468236666)
(0.53565144456286862,-0.83364654478871403)
(0.52148474307314641,-0.81285209632030841)
(0.76261657813114736,-0.83350832532450503)
(1.0544107820503841,-0.61534685874847583)
(1.0419671104069352,-0.59551747240567310)
(0.87571959435661895,-0.88113135855909452)
(0.80393885441754653,-0.70062145763732708)
(0.85356056742056508,-0.10897442192036549)
(1.0897455916231462,5.10884171828183686E-002)
(1.4170888387808871,-0.16917212632764184)
(1.3974112582961022,-0.15920675313524690)
(1.0138453704842481,0.17942073395364255)
(0.83924467612923204,0.55985131374111585)
(0.95025243010736515,0.64198090789580664)
(0.86744896293399121,0.46846045910645995)
(0.61362465272282019,0.54961855667717741)
(0.51689682746775256,0.93236396155573709)
(0.43267785324066393,1.1357471572498903)
(0.18212926940616497,1.1010375295182486)
(-0.10170869593434667,1.0071585315507829)
(-0.46267726946238485,0.80154729628516042)
(-0.95037664140781164,0.53117558126546993)
(-1.2497052992505555,0.25470973977348205)
(-1.2493504904656414,-7.16267531283530656E-002)
(-1.1943915165248802,-0.27589317658628709)
(-1.0782251319486851,-0.32126212445053692)
(-0.82679157404002657,-0.45812228313365261)
(-0.66460218579739849,-0.61288865355164290)
(-0.66901440566508941,-0.61626298057057571)
(-0.74876362747425962,-0.61603252958676624)
(-0.96167954283185619,-0.62470700785465327)
(-1.0999838662714976,-0.61146952890424577)
(-0.82566423239715558,-0.74107489003460558)
(-0.48397939639887472,-0.85646840639450583)
(-0.52342237766292354,-0.77946005627341042)
(-0.60310359119230816,-0.81607902953670408)
(-0.39956963836480880,-0.98381967827458272)
(-0.18071857713603962,-0.98235658422514482)
(-2.02990672009182305E-002,-1.0015313005287982)
(0.27404966327288560,-1.1290377646256511)
(0.56329439892732136,-0.98626688741877810)
(0.68894472985958055,-0.68813773375176457)
(0.83504091615182419,-0.63926783109047391)
(1.0719725459865403,-0.68523094694208542)
(1.1674957579592911,-0.59827576852413844)
(1.0666437927105306,-0.48511220195034016)
(1.0231512352329302,-0.42596576250981827)
(1.0596213312051554,-0.36660996360483938)
(0.89836837167158001,-9.17365646952941483E-002)
(0.68215130653613454,0.49417290608398606)
(0.79863451777995520,0.95049024021674400)
(0.87612508587057847,1.0168331439492440)
(0.34597208198230600,1.0685977355007892)
(-0.34612352523265660,1.1525544241710297)
(-0.55030942089536139,1.0089493403982110)
(-0.47982844269488611,0.89603552310836176)
(-0.49878430499155252,0.91368267957697258)
(-0.62143528389629477,0.65959016294566475)
(-0.87496241621197068,0.23785539273883627)
(-1.1565059256559982,4.87606479774010393E-002)
